UNIT CODE,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ESTIMATED TURNOVER,HOUSE CON,INVENTORY STATUS,HOLDING STATUS,HOUSE TAGGING,,,,
B044L020,VISMIN,ILOILO,1,,2,AMANI MID,44.00,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L021,VISMIN,ILOILO,1,,2,AMANI MID,44.00,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L022,VISMIN,ILOILO,1,,2,AMANI MID,44.00,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L023,VISMIN,ILOILO,1,,2,AMANI MID,44.00,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L024,VISMIN,ILOILO,1,,2,AMANI MID,44.00,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L025,VISMIN,ILOILO,1,,2,AMANI MID,44.00,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L026,VISMIN,ILOILO,1,,2,AMANI MID,44.00,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L027,VISMIN,ILOILO,1,,2,AMANI MID,44.00,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L030,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L031,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
