UNIT CODE,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ESTIMATED TURNOVER DATE,S HOUSECON,SU & INVENTORY,APPLICABLE TERM,HOUSE CON TAG,,,
B035L011,SOMA3,LIPA COVE,4,B,1,AMANI MID,40,36,"1,913,342",0,"1,913,342",Oct-2026,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B035L016,SOMA3,LIPA COVE,4,B,1,AMANI MID,40,36,"1,961,133.00",0.00,"1,961,133.00",Oct-2026,5%,OPEN,MEMO TERMS,YELLOW TAG,,,
B025L012,SOMA3,"STO. TOMAS, BATANGAS",1,A,3,CALISTA MID,50,40,"2,506,132",,"2,506,132",May-2027,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B025L013,SOMA3,"STO. TOMAS, BATANGAS",1,A,3,CALISTA MID,50,40,"2,506,132.00",,"2,506,132.00",May-2027,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B025L021,SOMA3,"STO. TOMAS, BATANGAS",1,A,3,CALISTA MID,50,40,"2,506,132.00",,"2,506,132.00",Apr-2027,7%,OPEN,MEMO TERMS,YELLOW TAG,,,
B025L031,SOMA3,"STO. TOMAS, BATANGAS",1,A,3,CALISTA MID,50,40,"2,506,132.00",,"2,506,132.00",Apr-2027,3%,OPEN,MEMO TERMS,YELLOW TAG,,,
B025L032,SOMA3,"STO. TOMAS, BATANGAS",1,A,3,CALISTA MID,50,40,"2,506,132.00",,"2,506,132.00",Apr-2027,3%,OPEN,MEMO TERMS,YELLOW TAG,,,
B025L033,SOMA3,"STO. TOMAS, BATANGAS",1,A,3,CALISTA MID,50,40,"2,506,132.00",,"2,506,132.00",Apr-2027,3%,OPEN,MEMO TERMS,YELLOW TAG,,,
B025L034,SOMA3,"STO. TOMAS, BATANGAS",1,A,3,CALISTA MID,50,40,"2,506,132.00",,"2,506,132.00",Apr-2027,3%,OPEN,MEMO TERMS,YELLOW TAG,,,
B025L074,SOMA3,"STO. TOMAS, BATANGAS",1,A,3,CALISTA MID,50,40,"2,506,132.00",,"2,506,132.00",Mar-2027,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B025L076,SOMA3,"STO. TOMAS, BATANGAS",1,A,3,CALISTA MID,50,40,"2,506,132.00",,"2,506,132.00",Mar-2027,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B025L077,SOMA3,"STO. TOMAS, BATANGAS",1,A,3,CALISTA MID,50,40,"2,506,132.00",,"2,506,132.00",Mar-2027,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B002L001,SOMA3,BATULAO,2,B,5,UNNA CORNER,129,54,"6,704,214.00","670,426.00","6,033,787.00",Aug-2026,10%,CANCELLED,RSBS WITHIN THE MONTH,YELLOW TAG,,,
B028L001,SOMA3,BATULAO,1,A,1,CALISTA END CORNER,124,40,"5,269,950.00","526,998.00","4,742,952.00",Feb-2025,80%,CANCELLED,RSBS WITHIN THE MONTH,RED TAG,,,
B029L013,SOMA3,BATULAO,1,A,3,CALISTA END,172,40,"6,717,389.00","671,742.00","6,045,647.00",Jul-2025,10%,CANCELLED,RSBS WITHIN THE MONTH,YELLOW TAG,,,
B006L015,SOMA3,EDITIONS BATULAO VOL.2W,1,-,4,CHRISTIE,140,90,"7,928,411.00","792,848","7,135,563.00",Apr-2029,0%,FALLOUT,MEMO TERMS,YELLOW TAG,,,
B024L031,SOMA3,"STO. TOMAS, BATANGAS",1,A,4,CALISTA MID,50,40,"2,506,132.00",,"2,506,132",Jul-2027,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
